Numer of labeled samples:40062   AUC:0.851
Numer of labeled samples:39976   AUC:0.849
Numer of labeled samples:39991   AUC:0.848
Numer of labeled samples:40138   AUC:0.850
Numer of labeled samples:39975   AUC:0.848
Numer of labeled samples:40141   AUC:0.852
Numer of labeled samples:40162   AUC:0.845
Numer of labeled samples:40066   AUC:0.847
Numer of labeled samples:40021   AUC:0.847
Numer of labeled samples:40138   AUC:0.847
Numer of labeled samples:40240   AUC:0.846
Numer of labeled samples:40083   AUC:0.853
Numer of labeled samples:40198   AUC:0.847
Numer of labeled samples:40175   AUC:0.849
Numer of labeled samples:40094   AUC:0.843
Numer of labeled samples:40102   AUC:0.848
Numer of labeled samples:40080   AUC:0.848
Numer of labeled samples:40111   AUC:0.857
Numer of labeled samples:40124   AUC:0.849
Numer of labeled samples:40129   AUC:0.848
Numer of labeled samples:40103   AUC:0.849
Numer of labeled samples:40216   AUC:0.853
Numer of labeled samples:40131   AUC:0.851
Numer of labeled samples:40206   AUC:0.847
Numer of labeled samples:40151   AUC:0.856
Numer of labeled samples:40240   AUC:0.850
Numer of labeled samples:40264   AUC:0.852
Numer of labeled samples:40302   AUC:0.845
Numer of labeled samples:40115   AUC:0.847
Numer of labeled samples:40206   AUC:0.843
Numer of labeled samples:40166   AUC:0.850
Numer of labeled samples:40302   AUC:0.847
Numer of labeled samples:40197   AUC:0.847
Numer of labeled samples:40151   AUC:0.846
Numer of labeled samples:40211   AUC:0.854
Numer of labeled samples:40249   AUC:0.849
Numer of labeled samples:40278   AUC:0.850
Numer of labeled samples:40369   AUC:0.853
Numer of labeled samples:40228   AUC:0.849
Numer of labeled samples:40218   AUC:0.850
Numer of labeled samples:40195   AUC:0.852
Numer of labeled samples:40311   AUC:0.850
Numer of labeled samples:40337   AUC:0.853
Numer of labeled samples:40207   AUC:0.848
Numer of labeled samples:40184   AUC:0.849
Numer of labeled samples:40230   AUC:0.844
Numer of labeled samples:40228   AUC:0.853
Numer of labeled samples:40217   AUC:0.853
Numer of labeled samples:40249   AUC:0.847
Numer of labeled samples:40282   AUC:0.844
Numer of labeled samples:40249   AUC:0.852
Numer of labeled samples:40291   AUC:0.852
Numer of labeled samples:40326   AUC:0.849
Numer of labeled samples:40348   AUC:0.845
Numer of labeled samples:40394   AUC:0.852
Numer of labeled samples:40472   AUC:0.849
Numer of labeled samples:40231   AUC:0.849
Numer of labeled samples:40336   AUC:0.853
Numer of labeled samples:40450   AUC:0.840
Numer of labeled samples:40451   AUC:0.844
Numer of labeled samples:40388   AUC:0.851
Numer of labeled samples:40382   AUC:0.845
Numer of labeled samples:40385   AUC:0.849
Numer of labeled samples:40442   AUC:0.839
Numer of labeled samples:40301   AUC:0.846
Numer of labeled samples:40420   AUC:0.845
Numer of labeled samples:40380   AUC:0.848
Numer of labeled samples:40393   AUC:0.849
Numer of labeled samples:40447   AUC:0.846
Numer of labeled samples:40386   AUC:0.851
Numer of labeled samples:40326   AUC:0.841
Numer of labeled samples:40473   AUC:0.848
Numer of labeled samples:40463   AUC:0.843
Numer of labeled samples:40374   AUC:0.844
Numer of labeled samples:40331   AUC:0.845
Numer of labeled samples:40453   AUC:0.849
